,user,text,favorite_count,retweet_count,created_at
111,elonmusk,@micsolana 🤣🤣,6335,217,2022-11-19 12:02:22+00:00
112,elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,5648,196,2022-11-19 11:43:12+00:00
113,elonmusk,Tesla FSD 10.69.3.1 going to wide release now,120875,6930,2022-11-19 09:37:51+00:00
114,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,463949,37089,2022-11-19 09:28:36+00:00
115,elonmusk,@Nomad_1x The bot attack is impressive to watch!,60084,4305,2022-11-19 09:21:31+00:00
116,elonmusk,Trump poll getting ~1M votes/hour!,619900,38271,2022-11-19 09:05:35+00:00
117,elonmusk,@micsolana Can’t tell if this is parody or real,9971,345,2022-11-19 09:02:30+00:00
118,elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",14377,811,2022-11-19 06:06:34+00:00
119,elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",233091,9105,2022-11-19 02:09:59+00:00
120,elonmusk,@lexfridman Agreed,30828,707,2022-11-19 02:07:59+00:00
121,elonmusk,"Vox Populi, Vox Dei",317722,23084,2022-11-19 00:53:47+00:00
122,elonmusk,Reinstate former President Trump,835594,233690,2022-11-19 00:47:45+00:00
123,elonmusk,@thevivafrei @paraga @jack Too bad,60102,1845,2022-11-19 00:41:18+00:00
124,elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4381,278,2022-11-19 00:25:35+00:00
125,elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",52898,4657,2022-11-19 00:15:53+00:00
126,elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,52264,2310,2022-11-19 00:13:23+00:00
127,elonmusk,@TrungTPhan 🤣,6714,202,2022-11-18 22:14:51+00:00
128,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,622237,55622,2022-11-18 22:07:39+00:00
129,elonmusk,@BillyM2k Exactly,32181,1737,2022-11-18 21:52:14+00:00
130,elonmusk,@Benioff Thanks Marc ❤️,62597,2019,2022-11-18 21:11:12+00:00
131,elonmusk,@HardcoreNolley No,70990,1643,2022-11-18 19:03:47+00:00
132,elonmusk,"Note, this applies just to the individual tweet, not the whole account",134771,7648,2022-11-18 18:38:38+00:00
133,elonmusk,@TheBabylonBee If only there had been a way … 🤣🤣,49566,3202,2022-11-18 18:37:03+00:00
134,elonmusk,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",271342,21109,2022-11-18 18:33:48+00:00
135,elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",416850,42928,2022-11-18 18:31:47+00:00
136,elonmusk,Freedom Fridays …,387048,24662,2022-11-18 18:22:01+00:00
137,elonmusk,@BillyM2k Jazz hands 🤗,31831,1223,2022-11-18 18:19:37+00:00
138,elonmusk,What should Twitter do next?,519413,32718,2022-11-18 17:38:07+00:00
139,elonmusk,@Yemen_770 🤣,2488,107,2022-11-18 17:37:40+00:00
140,elonmusk,@micsolana You don’t say …,41898,2328,2022-11-18 16:40:26+00:00
141,elonmusk,@SamTwits Of course not ❤️,49555,1451,2022-11-18 15:56:43+00:00
142,elonmusk,@DrKrusher 🥱,38414,1003,2022-11-18 15:33:16+00:00
143,elonmusk,@MikeDulaimi I stand corrected!,20786,503,2022-11-18 15:20:01+00:00
144,elonmusk,https://t.co/OjhQJvruTy,792287,100751,2022-11-18 15:16:30+00:00
145,elonmusk,@lionxmah @folha ?,3034,129,2022-11-18 10:26:25+00:00
146,elonmusk,@AOC You’re welcome,549406,21933,2022-11-18 09:47:40+00:00
147,elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",55348,5489,2022-11-18 09:25:02+00:00
148,elonmusk,@piersmorgan Seriously,133241,4646,2022-11-18 08:56:22+00:00
149,elonmusk,https://t.co/JU073T756X,344796,23886,2022-11-18 06:40:12+00:00
150,elonmusk,https://t.co/rbwbsLA1ZG,2139490,236486,2022-11-18 04:23:16+00:00
151,elonmusk,🏴‍☠️,545341,35191,2022-11-18 04:20:14+00:00
152,elonmusk,@ashleevance 🤣,8787,277,2022-11-18 04:19:11+00:00
153,elonmusk,Let that sink in …,231634,9365,2022-11-18 04:12:21+00:00
154,elonmusk,And … we just hit another all-time high in Twitter usage lol,725873,47578,2022-11-18 04:07:05+00:00
155,elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",197341,12901,2022-11-18 03:58:03+00:00
156,elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",13580,1224,2022-11-18 03:46:11+00:00
157,elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,139084,4746,2022-11-18 03:34:58+00:00
158,elonmusk,@MichaelGuimarin Thanks!,16776,430,2022-11-18 01:29:38+00:00
159,elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",461599,26782,2022-11-18 01:25:55+00:00
160,elonmusk,@growing_daniel @micsolana 🤣,36175,1454,2022-11-17 23:34:38+00:00
161,elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",108731,7670,2022-11-17 23:28:28+00:00
